epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1851.65,1.09756,1.44696,1.46247,0.55772,0.46738,0.55117,0.33918,1.38486,1.60311,1.77036,0.000926778,0.000926778,0.000926778
73,1876.52,1.18171,1.49785,1.53384,0.6519,0.51711,0.5616,0.33198,1.39524,1.634,1.77086,0.000919704,0.000919704,0.000919704
74,1902.18,1.11246,1.35364,1.49678,0.67182,0.51004,0.56815,0.35236,1.38229,1.601,1.7268,0.000912631,0.000912631,0.000912631
75,1928.19,1.15209,1.41659,1.51366,0.61677,0.54355,0.59801,0.37574,1.37548,1.49873,1.73663,0.000905557,0.000905557,0.000905557
76,1954.34,1.15919,1.42641,1.5148,0.559,0.56931,0.60725,0.37395,1.33715,1.55722,1.7044,0.000898484,0.000898484,0.000898484
77,1980.26,1.09863,1.29951,1.44392,0.668,0.46601,0.56886,0.33543,1.42256,1.58085,1.78965,0.00089141,0.00089141,0.00089141
78,2006.24,1.1153,1.3291,1.4749,0.62916,0.53472,0.60451,0.37803,1.40405,1.52863,1.75833,0.000884337,0.000884337,0.000884337
79,2032.22,1.09129,1.30538,1.43266,0.58801,0.53065,0.5841,0.35955,1.41789,1.54313,1.7617,0.000877263,0.000877263,0.000877263
80,2058.16,1.06257,1.22819,1.40356,0.6034,0.58451,0.62806,0.37045,1.39884,1.47211,1.77948,0.00087019,0.00087019,0.00087019
81,2084.31,1.1382,1.29485,1.48615,0.70358,0.47383,0.57971,0.35434,1.46885,1.51987,1.78522,0.000863116,0.000863116,0.000863116
82,2110.31,1.08661,1.28967,1.44799,0.64356,0.54055,0.60372,0.36753,1.38151,1.47702,1.74056,0.000856042,0.000856042,0.000856042
83,2136.18,1.05936,1.25231,1.4185,0.6873,0.49329,0.58572,0.36135,1.3675,1.57147,1.72971,0.000848969,0.000848969,0.000848969
84,2162.11,1.03096,1.18422,1.39951,0.63295,0.56065,0.61911,0.38583,1.3899,1.43434,1.74011,0.000841895,0.000841895,0.000841895
85,2188.39,1.05336,1.20463,1.41627,0.62996,0.53137,0.57822,0.35903,1.43104,1.59488,1.79529,0.000834822,0.000834822,0.000834822
86,2214.49,1.06981,1.24434,1.42386,0.60589,0.5388,0.59471,0.35716,1.41147,1.48894,1.80521,0.000827748,0.000827748,0.000827748
87,2240.48,1.06535,1.22211,1.42465,0.63587,0.54576,0.5877,0.36859,1.39961,1.56632,1.77359,0.000820675,0.000820675,0.000820675
88,2266.34,1.0746,1.21328,1.43429,0.57785,0.5548,0.59182,0.38707,1.36304,1.51293,1.72784,0.000813601,0.000813601,0.000813601
89,2292.56,1.0219,1.214,1.38764,0.73867,0.49124,0.60834,0.39404,1.32212,1.51859,1.67256,0.000806528,0.000806528,0.000806528
90,2318.62,1.03187,1.17145,1.3954,0.68384,0.54576,0.63377,0.40414,1.35346,1.38396,1.69408,0.000799454,0.000799454,0.000799454
91,2344.12,1.04355,1.14594,1.40308,0.69252,0.56202,0.63084,0.38375,1.40797,1.50227,1.75762,0.00079238,0.00079238,0.00079238
92,2369.08,1.05195,1.16122,1.41157,0.75253,0.49287,0.60838,0.37124,1.39495,1.50335,1.75411,0.000785307,0.000785307,0.000785307
93,2394.5,1.01654,1.1319,1.38465,0.66481,0.56863,0.6089,0.38095,1.4153,1.4296,1.79448,0.000778233,0.000778233,0.000778233
94,2419.44,1.02874,1.15663,1.39799,0.67745,0.51958,0.58976,0.36724,1.38827,1.51835,1.76503,0.00077116,0.00077116,0.00077116
95,2444.43,1.01435,1.16982,1.38261,0.67842,0.5918,0.64522,0.39482,1.35282,1.44763,1.70111,0.000764086,0.000764086,0.000764086
96,2470.56,1.07097,1.18698,1.42657,0.65475,0.52447,0.59309,0.37015,1.38829,1.55267,1.7257,0.000757013,0.000757013,0.000757013
97,2495.63,0.99328,1.10847,1.35945,0.59988,0.59947,0.61909,0.39587,1.34997,1.46442,1.70169,0.000749939,0.000749939,0.000749939
